2015-12月-31	7.334305	0.2271	-0.0087	1.5273	0.7736	0.0563	-0.0387	-2.4136
2016- 1月-29	-25.476741	-1.0754	0.0184	1.5154	-0.7807	0.0663	0.0135	-24.7344
2016- 2月-29	4.076628	0.2017	0.0129	1.7385	0.3072	0.0481	0.0361	-5.6716
2016- 3月-31	5.108483	0.3119	0.008	0.2197	0.7925	0.039	0.0146	-0.307
2016- 4月-29	-1.653906	-0.1984	0.0001	1.4252	-0.2501	0.0378	0.0144	-6.3422
2016- 5月-31	-5.268817	-0.5202	0.0051	2.4637	-0.5222	0.0266	-0.0056	-6.1368
2016- 6月-30	5.198638	0.2867	0.0438	3.2788	0.5922	0.0154	0.027	-1.2525
2016- 7月-29	8.139836	0.6287	0.0092	1.0005	3.3919	0.0204	0.0101	-1.397
2016- 8月-31	3.372446	0.2639	-0.0023	1.3424	0.5468	0.0303	0.0067	-3.1579
2016- 9月-30	-3.324196	-0.1575	-0.001	0.2185	-0.196	0.0146	-0.01	-2.2867
2016-10月-31	0.251597	0.0263	-0.0189	1.3667	0.0463	0.013	0.0117	-1.6224
